Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Location,Performance_Rating,Experience_Years,Status,Work_Mode,Salary_INR
EMP0000001,Joshua Nguyen,IT,Software Engineer,10/08/2011,"Isaacland, Denmark",5,14,Resigned,On-site,1585363
EMP0000002,Julie Williams,Marketing,SEO Specialist,02/03/2018,"Anthonyside, Costa Rica",2,7,Active,On-site,847686
EMP0000003,Alyssa Martinez,HR,HR Manager,20/03/2023,"Port Christinaport, Saudi Arabia",1,2,Active,On-site,1430084
EMP0000004,Nicholas Valdez,IT,Software Engineer,12/10/2023,"Port Shelbychester, Antigua and Barbuda",1,1,Active,On-site,990689
EMP0000005,Joel Hendricks,Operations,Logistics Coordinator,09/12/2024,"Lake Kimberly, Palestinian Territory",5,0,Active,On-site,535082
EMP0000006,Jason Gardner,Operations,Logistics Coordinator,23/02/2021,"Zimmermanstad, Bulgaria",5,4,Active,On-site,641393
EMP0000007,Julie Wright,Finance,Finance Manager,04/04/2016,"Karenfort, South Africa",2,9,Active,On-site,1383891
EMP0000008,Scott Wilson,Sales,Account Manager,04/04/2020,"Moniqueview, British Virgin Islands",2,5,Active,Remote,423091
EMP0000009,Cathy Thompson,Finance,Financial Analyst,29/05/2018,"South Catherine, Belize",4,7,Resigned,Remote,1138452
EMP0000010,Maria Yu MD,IT,Software Engineer,08/10/2015,"Brownport, Yemen",4,9,Active,Remote,1543102
EMP0000011,Jordan Haynes,Sales,Sales Executive,27/10/2018,"Lake Katherineland, Gambia",1,6,Active,On-site,617992
EMP0000012,Kevin Lowe,Sales,Account Manager,02/07/2024,"East Kent, Qatar",3,1,Resigned,On-site,1111759
EMP0000013,Glen Miller,Operations,Operations Executive,03/05/2011,"Coreybury, Libyan Arab Jamahiriya",3,14,Active,On-site,512635
EMP0000014,Roberto Nguyen,HR,HR Executive,24/08/2020,"South Sandraview, India",4,4,Active,On-site,572479
EMP0000015,Megan Hernandez,Sales,Account Manager,14/01/2016,"New Royberg, Thailand",5,9,Active,Remote,1158764
EMP0000016,Julie Marshall,Marketing,SEO Specialist,19/07/2021,"Port Phillip, Poland",5,4,Active,On-site,602022
EMP0000017,Robert Martin,Operations,Logistics Coordinator,13/05/2025,"Laurahaven, Afghanistan",3,0,Resigned,On-site,859025
EMP0000018,Mark Rodriguez,Sales,Sales Director,17/09/2016,"Maryshire, Botswana",3,8,Active,Remote,508563
EMP0000019,Samuel Ferguson,IT,DevOps Engineer,05/04/2025,"Matthewsville, Ghana",2,0,Active,On-site,631273
EMP0000020,Donald Hoffman,Marketing,Content Strategist,01/04/2022,"South James, New Zealand",3,3,Resigned,On-site,965154
EMP0000021,Mr. Billy Rodgers DDS,Marketing,Marketing Executive,12/10/2017,"West Bryanton, Saint Martin",3,7,Terminated,On-site,796532
EMP0000022,Kylie May,IT,DevOps Engineer,07/07/2015,"Houstonland, Qatar",2,10,Active,On-site,723820
EMP0000023,James Valdez,R&D,Research Scientist,30/10/2017,"East Scott, Mauritius",5,7,Retired,On-site,789283
EMP0000024,Allen Palmer,Finance,Accountant,17/05/2022,"Lake Brittney, Albania",4,3,Resigned,Remote,577616
EMP0000025,Amanda Miller,IT,IT Manager,31/07/2021,"Tammyview, Barbados",2,4,Active,Remote,2153098
EMP0000026,Craig Kelly,IT,Software Engineer,15/01/2025,"Martinmouth, Switzerland",1,0,Resigned,Remote,1201087
EMP0000027,Daniel Hernandez,Sales,Sales Executive,12/09/2019,"Port Jacob, Falkland Islands (Malvinas)",3,5,Active,On-site,742262
EMP0000028,James Young,Marketing,Marketing Executive,17/11/2020,"Limouth, Saint Vincent and the Grenadines",2,4,Active,Remote,670863
EMP0000029,Steven Castillo,Operations,Supply Chain Manager,04/08/2023,"Troyberg, Guadeloupe",2,2,Active,On-site,969155
EMP0000030,Kimberly Russo,Finance,Finance Manager,15/08/2021,"New Hollyhaven, Vietnam",4,4,Active,Remote,1508236
EMP0000031,Nathan Smith,IT,Software Engineer,13/02/2019,"Anthonyburgh, Bahamas",4,6,Active,On-site,1076433
EMP0000032,Jeffery Chapman,Sales,Account Manager,21/10/2020,"New Tyler, Kazakhstan",4,4,Active,On-site,512557
EMP0000033,Cristian Thomas,IT,IT Manager,14/02/2021,"North Markbury, San Marino",3,4,Active,Remote,2408177
EMP0000034,Steve Carlson,IT,Software Engineer,25/04/2020,"Grahamfurt, Jamaica",5,5,Terminated,On-site,1039192
EMP0000035,Kathleen Shields,IT,IT Manager,26/07/2023,"North Brianmouth, Zambia",1,2,Retired,On-site,2615626
EMP0000036,Amanda Mooney,IT,Data Analyst,05/04/2024,"Colehaven, Singapore",4,1,Active,Remote,511161
EMP0000037,Jennifer Conway,Marketing,SEO Specialist,11/12/2024,"South Madison, Nigeria",4,0,Active,Remote,814964
EMP0000038,Doris Lambert,HR,Talent Acquisition Specialist,14/03/2019,"Ayalafurt, Estonia",1,6,Active,On-site,892414
EMP0000039,Jeffrey Lucas,IT,Software Engineer,20/10/2021,"Thompsonport, Paraguay",1,3,Active,On-site,1054801
EMP0000040,Emily Hudson,Finance,Finance Manager,25/05/2021,"Ortizbury, Senegal",2,4,Resigned,Remote,1448066
EMP0000041,Vanessa Rodriguez,Sales,Sales Executive,29/01/2011,"West Paula, Nepal",2,14,Active,Remote,865319
EMP0000042,Justin Hendricks,IT,Software Engineer,31/12/2015,"Laurafort, Bahrain",1,9,Active,On-site,746812
EMP0000043,John Daniels,Marketing,Marketing Executive,25/03/2019,"East Charles, Qatar",4,6,Resigned,On-site,671963
EMP0000044,Sandra Wolf,R&D,Product Developer,22/02/2025,"Lake Jennifer, United States Minor Outlying Islands",3,0,Active,On-site,1033879
EMP0000045,Annette Mcdowell,Sales,Sales Executive,08/12/2017,"Lake Heather, Dominica",4,7,Resigned,On-site,845092
EMP0000046,James Miller,Marketing,SEO Specialist,24/03/2022,"Melissafurt, Brunei Darussalam",5,3,Active,Remote,768681
EMP0000047,Donna Estes,Operations,Operations Director,15/06/2011,"East Tina, China",2,14,Active,On-site,982133
EMP0000048,Tom Mills,HR,HR Executive,31/01/2024,"Johnsonside, Ghana",1,1,Active,Remote,565467
EMP0000049,Chad Newton,IT,DevOps Engineer,15/10/2015,"South Jerryhaven, Mongolia",3,9,Resigned,Remote,709525
EMP0000050,Gary Charles,Operations,Supply Chain Manager,25/09/2024,"Navarroberg, Switzerland",1,0,Active,On-site,459800
EMP0000051,Dylan Welch,Sales,Account Manager,11/08/2011,"West Kevinfurt, Jordan",4,14,Active,Remote,915341
EMP0000052,Kevin Johnson,Marketing,SEO Specialist,14/05/2017,"South Davidburgh, Kyrgyz Republic",2,8,Retired,Remote,997151
EMP0000053,Keith Diaz,HR,HR Executive,08/06/2022,"New Pamela, Tokelau",1,3,Active,On-site,327765
EMP0000054,Allison Williams,Sales,Sales Executive,23/11/2017,"Robertborough, Bolivia",2,7,Active,On-site,603678
EMP0000055,Jeffrey Schwartz,HR,Talent Acquisition Specialist,12/04/2024,"Isaiahport, Japan",3,1,Retired,Remote,949067
EMP0000056,Pamela Gross,IT,Software Engineer,21/02/2024,"Davidstad, Estonia",3,1,Resigned,Remote,1493640
EMP0000057,Claire Martinez,IT,DevOps Engineer,17/01/2020,"Garciaton, Libyan Arab Jamahiriya",5,5,Terminated,Remote,838341
EMP0000058,Alexander Mitchell,IT,CTO,19/11/2023,"South Charles, Iran",1,1,Active,On-site,706360
EMP0000059,Jessica Ellison,IT,Data Analyst,26/10/2015,"South Mark, Djibouti",3,9,Active,On-site,1153931
EMP0000060,Lisa Mcintosh MD,IT,Software Engineer,09/08/2016,"Wrightview, Guernsey",2,9,Active,Remote,1608951
EMP0000061,Ross Flores,IT,Software Engineer,31/03/2025,"North Zacharyland, Zambia",2,0,Active,On-site,724230
EMP0000062,Kelly Myers,R&D,Product Developer,10/02/2022,"Port Sethtown, Guyana",3,3,Active,On-site,985454
EMP0000063,Michael Gomez,IT,Data Analyst,08/11/2015,"Lake Juliestad, Afghanistan",1,9,Active,On-site,641799
EMP0000064,Jaime Jackson,Finance,Financial Analyst,03/11/2023,"New Molly, Saint Pierre and Miquelon",3,1,Active,On-site,1439081
EMP0000065,Dana Horton,HR,Talent Acquisition Specialist,15/08/2024,"Port Michael, Gabon",2,0,Active,On-site,452360
EMP0000066,Christopher Irwin,HR,HR Executive,20/09/2016,"South Toddport, Seychelles",5,8,Resigned,Remote,308469
EMP0000067,Ana Simmons,R&D,Research Scientist,02/09/2016,"Lake Jason, Portugal",5,8,Resigned,On-site,776228
EMP0000068,Brian Short,Marketing,Marketing Executive,18/07/2022,"West Paul, Slovakia (Slovak Republic)",3,3,Active,On-site,1113271
EMP0000069,Diana Combs,IT,Software Engineer,23/07/2014,"South Angelastad, Palestinian Territory",5,11,Resigned,Remote,1136918
EMP0000070,Amanda Steele,Sales,Sales Executive,10/07/2016,"Floresborough, Lebanon",3,9,Resigned,On-site,701012
EMP0000071,Jason Mueller,IT,Data Analyst,11/10/2018,"Martinton, Paraguay",3,6,Active,Remote,721366
